Employer,Doing Business As,Account Status,Date Enrolled,Date Terminated,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RMS Energy CO, LLC",,Open,8/9/2022,,100 to 499,1,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMS Energy Consulting LLC,,Open,2/26/2019,,10 to 19,4,CA, FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberts Energy Distributors,,Open,3/1/2021,,10 to 19,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberts Energy Distributors,,Terminated,4/18/2019,4/1/2021,10 to 19,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberts Energy Distributors LLC,,Open,12/1/2014,,10 to 19,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RobRoy Energy Systems, Inc.",,Open,2/7/2013,,5 to 9,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rockwater Energy Solutions, Inc",,Open,5/15/2012,,"2,500 to 4,999",44,CO, LA, ND, NM, OK, PA, TX, WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolls-Royce Energy Systems Inc.,,Terminated,6/24/2008,6/22/2009,500 to 999,1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rolls-Royce Energy Systems, Inc.",,Terminated,4/3/2012,10/28/2020,500 to 999,3,IN, OH, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rondo Energy, Inc.",,Open,3/11/2022,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Horse Energy LLC,,Open,9/6/2018,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPA ENERGY INC,,Open,11/25/2019,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRC Power and Energy LLC,,Open,9/22/2020,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RST Mechanical & Energy Services,,Open,8/14/2014,,5 to 9,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RTR Energy Solutions, Inc.",,Open,3/24/2021,,20 to 99,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RTR Energy Solutions, Inc.",,Open,2/3/2022,,20 to 99,3,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTS Energy Services LLC,,Terminated,3/20/2017,5/13/2020,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruby Renewable Resources LLC,Green IT Energy Applications,Open,4/2/2021,,20 to 99,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rugged Energy Services llc,,Open,9/14/2018,,10 to 19,1,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RushCo Energy Specialists, Inc","RushCo Energy Specialists, Inc",Open,12/29/2020,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rushmore Energy, LLC",,Open,2/11/2019,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Environmental LLC,Ryan Energy Services,Terminated,8/7/2019,4/21/2023,100 to 499,1,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rystad Energy, Inc.",Rystad Energy,Open,3/8/2022,,20 to 99,58,CA, CO, NY, TX, WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2 Energy Operating LLC,,Open,4/9/2018,,20 to 99,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sae Sun And Earth Energy Inc,,Open,6/6/2014,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAE Sun and Earth Energy, Inc",,Terminated,12/4/2014,2/25/2022,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safari Energy LLC,,Open,7/15/2019,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safari Energy, LLC",Safari Energy,Open,11/13/2018,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safari Energy, LLC","Safari Energy, LLC",Open,9/2/2015,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sage Renewable Energy Consulting, Inc.",Sage Energy Consulting,Open,5/11/2021,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salient Energy, Inc",,Open,5/5/2022,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salinas Energy Corporation,,Open,3/4/2008,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt and Light Energy Equipment,SNLEE,Open,7/17/2020,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salt and Light Energy Equipment, LLC",,Open,4/22/2019,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samson Contour Energy E&P, LLC",,Open,10/19/2009,,20 to 99,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samson Energy Company, LLC",,Open,1/24/2012,,20 to 99,3,OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samson Energy Company, LLC",,Open,7/29/2019,,100 to 499,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Diego Mechanical & Energy, Inc.",San Diego Mechanical Energy,Open,12/21/2017,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sancus Energy and Power,Sancus,Open,10/20/2014,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandhill Energy,Sandhill Energy,Open,11/25/2013,,10 to 19,1,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SandRidge Energy, Inc.",,Terminated,6/19/2008,4/21/2023,"2,500 to 4,999",9,LA, OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanimax Energy LLC,,Open,5/26/2015,,20 to 99,1,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Buckley Energy, Inc.",,Open,9/3/2008,,10 to 19,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Energy, Inc.",,Terminated,1/28/2010,4/14/2021,100 to 499,1,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santanna Energy Services,,Open,7/27/2017,,20 to 99,2,IL, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanyo Energy (USA) Corporation,,Terminated,5/23/2008,3/31/2021,100 to 499,6,DE, IL, MI, MO, NJ, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanyo Energy USA Corp,,Open,12/12/2014,,20 to 99,3,MI, MO, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanyo Energy USA Corporation,,Terminated,5/24/2010,4/14/2021,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sapphire Energy, Inc.",,Open,7/13/2012,,20 to 99,2,CA, NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saracen Energy Power Advisors LP,,Open,11/26/2013,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satori Enterprises,Satori Energy,Terminated,8/27/2019,3/2/2022,10 to 19,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sava Energy, LLC",,Open,9/16/2014,,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savanna Energy,Savanna Drilling,Terminated,2/20/2014,5/7/2021,100 to 499,111,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savanna Energy Services Corp,,Open,5/31/2018,,20 to 99,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAVING ENERGY CONSULTING SERVICES, INC.",,Terminated,3/26/2012,5/16/2015,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB ENERGY DEVCO US INC,,Open,6/30/2020,,20 to 99,7,AZ, CA, CO, IL, NM, TX, UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scana Energy Marketing LLC,,Open,3/6/2020,,100 to 499,3,GA, SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scana Energy Marketing LLC,,Open,3/23/2020,,100 to 499,3,GA, SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schneider Energy Consulting,,Open,4/20/2016,,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schneider Energy Services, Inc.",,Terminated,12/12/2007,3/24/2021,100 to 499,4,CO, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoeller-Bleckmann Energy Services LLC,,Open,10/1/2007,,20 to 99,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schoeller-Bleckmann Energy Services, LLC",,Open,1/17/2013,,20 to 99,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schwob Energy Services LLC,,Open,11/28/2018,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SCIenergy, Inc.",,Open,10/27/2011,,20 to 99,2,CA, GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SCIenergy, Inc.",,Terminated,1/14/2016,11/16/2019,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Score Energy Inc.,,Open,10/18/2013,,5 to 9,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scout Clean Energy, LLC",,Open,4/19/2017,,5 to 9,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scout Energy Management LLC,,Open,8/23/2017,,100 to 499,19,KS, MT, ND, OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SE ENERGY, LLC",N/A,Open,1/22/2020,,20 to 99,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE Fitness LLC,Energy Sports & Fitness,Open,12/22/2014,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA Acquisition Corp,Sustainable Energy Analytics,Open,5/1/2018,,10 to 19,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEC Energy Products & Services, LP",,Terminated,9/9/2009,4/7/2021,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECO Energy,,Open,9/25/2014,,100 to 499,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Generation Energy,,Open,3/7/2013,,10 to 19,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector 7 Energy,Daniel Shen Ventures LLC,Open,8/9/2021,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Secure Energy Solutions, LLC",,Open,12/19/2016,,20 to 99,2,MA, NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Securing Americas Future Energy,,Open,6/21/2022,,20 to 99,1,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Securing Americas Future Energy Foundation,,Open,10/19/2018,,20 to 99,1,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECURITY & ENERGY TECHNOLOGIES CORPORATION,,Open,6/11/2009,,20 to 99,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEF Energy, LLC",,Terminated,5/17/2018,7/4/2021,20 to 99,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEF Energy, LLC",,Open,6/4/2021,,20 to 99,2,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEF Energy, LLC","SEF Energy, LLC",Open,12/15/2021,,20 to 99,2,OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEI Energy, LLC",,Open,7/19/2015,,10 to 19,4,OK, TN, TX, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sellenriek Energy, LLC","Sellenriek Energy, LLC",Open,9/13/2022,,20 to 99,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM Power LLC,Solar Energy Management,Open,2/16/2016,,10 to 19,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEMCO Energy, Inc.",,Open,9/29/2009,,100 to 499,22,AK, MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seminole Energy Services, L.L.C.",,Terminated,6/7/2012,4/23/2021,100 to 499,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sempra Energy,,Terminated,4/5/2012,3/2/2020,"10,000 and over",340,AL, AZ, CA, CO, CT, DC, DE, FL, GA, ID, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NV, NY, OH, OK, OR, PA, TN, TX, UT, VA, WY,,,,,,,,,,,,,,,,,,
Senergy Petroleum LLC,,Open,11/3/2020,,100 to 499,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENERGY PETROLEUM LLC,SENERGY PETROLEUM,Terminated,6/24/2013,11/6/2022,100 to 499,4,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senergy Solar Inc,,Open,10/24/2016,,20 to 99,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentient Energy Inc.,,Open,1/11/2017,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sentient Energy, Inc.",,Open,11/14/2014,,20 to 99,3,CA, FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serenergy Corp,Serenergy Corp,Open,3/5/2020,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERIOUS ENERGY,SERIOUS ENERGY,Terminated,1/11/2012,4/23/2021,100 to 499,4,CA, CO, IL, PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sfadia Inc,Green Energy Innovations,Open,4/22/2022,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SG Construction Group, LLC",SG Energy Solutions,Open,8/3/2021,,20 to 99,1,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SGP Energy Fund, L3C",,Open,3/10/2014,,10 to 19,2,GA, MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SGP Energy Services, LLC",,Open,3/7/2014,,10 to 19,2,GA, MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Wolf Energy LLC,,Open,5/17/2022,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShalePro Energy Services, LLC",,Open,1/3/2020,,100 to 499,7,OH, PA, VA, WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShalePro Energy Services, LLC",,Open,7/20/2022,,100 to 499,7,OH, PA, VA, WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sharewell Energy Services, LLC",,Terminated,3/8/2012,4/23/2021,100 to 499,2,TX, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sharp Energy, Inc.",,Terminated,5/14/2014,6/13/2014,100 to 499,5,DE, FL, MD, PA, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelton Energy Solutions,,Open,5/10/2021,,100 to 499,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Energy Consultants LLC,,Open,6/27/2017,,5 to 9,1,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipley Energy,,Open,10/27/2021,,100 to 499,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shorebreak Energy Developers, LLC",,Open,6/18/2012,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show Me Energy Cooperative,,Open,11/24/2008,,10 to 19,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shryock Energy Services LLC,,Open,2/3/2023,,5 to 9,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sid Richardson Carbon, Ltd",Sid Richardson Carbon & Energy Co,Terminated,7/8/2014,5/7/2021,100 to 499,6,LA, OH, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sieben Energy Associates,,Open,4/9/2015,,10 to 19,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sieben Energy Associates, LLC",Sieben Energy Associates,Open,6/7/2011,,10 to 19,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens Energy & Automation,,Terminated,7/8/2008,3/31/2021,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens Energy & Automation,,Terminated,5/8/2008,3/31/2021,100 to 499,10,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens Energy & Automation,,Terminated,6/17/2008,10/21/2020,500 to 999,2,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens Energy & Automation,,Terminated,6/18/2008,3/31/2021,100 to 499,3,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens Energy & Automation,,Terminated,6/5/2008,3/2/2020,"5,000 to 9,999",1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens Energy & Automation,,Terminated,5/12/2008,3/2/2020,"2,500 to 4,999",1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens Energy & Automation,,Open,6/3/2008,,20 to 99,1,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siemens Energy & Automation, Inc.",,Terminated,6/26/2008,10/11/2012,100 to 499,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siemens Energy & Automation, Inc.",,Terminated,6/19/2008,3/31/2021,100 to 499,1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siemens Energy & Automation, Inc.",,Terminated,6/4/2008,10/21/2020,"1,000 to 2,499",4,KY, MA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siemens Energy & Automation, Inc.",,Terminated,5/19/2008,3/31/2021,100 to 499,2,OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens Energy and Automation Ohio Operations,,Terminated,7/22/2008,10/21/2020,500 to 999,2,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens Energy Inc.,,Open,2/13/2008,,"10,000 and over",18,AR, CA, CO, FL, GA, MN, MS, NC, NJ, NY, TN, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siemens Energy&Automation,,Terminated,6/9/2008,3/31/2021,100 to 499,5,MO, NY, PA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siemens Energy, Inc., Oil & Gas Solutions",,Terminated,5/8/2008,3/31/2021,100 to 499,2,PA, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Siemens Gamesa Renewable Energy, Inc.",,Open,9/20/2021,,"1,000 to 2,499",67,CA, CO, FL, HI, IA, IL, KS, MA, MI, MN, MT, ND, NH, NM, NV, OK, OR, PA, TX, WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiEnergy,SiEnergy,Terminated,6/26/2015,3/13/2018,5 to 9,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SiEnergy, L.P.",,Terminated,5/2/2014,6/3/2018,10 to 19,2,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Energy,,Open,2/21/2012,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigma Energy Solutions Inc,,Terminated,7/30/2012,1/27/2017,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Energy,,Terminated,6/10/2011,1/20/2022,100 to 499,1,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Signal Energy DG, LLC",Signal DG,Open,6/8/2020,,20 to 99,1,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Signal Energy, LLC",Signal Energy,Open,4/27/2021,,100 to 499,1,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicium Energy,,Open,10/18/2013,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Fox Energy,,Open,7/20/2022,,100 to 499,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silverwood Energy, Inc.",,Open,6/17/2010,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simple Energy (C7B),,Terminated,8/2/2013,11/16/2019,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMPLE ENERGY TESTING LLC,,Open,11/14/2018,,10 to 19,2,MN, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMPLE ENERGY TESTING LLC,,Open,7/14/2020,,20 to 99,1,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sioux Energy Services, LLC",,Open,9/21/2021,,5 to 9,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJSA Holdings LLC,Essential Energy Services,Open,8/26/2010,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkyMast Energy LLC,,Open,1/6/2023,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL GLOBAL Energy,SL GLOBAL Energy,Open,8/30/2018,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
