Employer,Doing Business As,Account Status,Date Enrolled,Date Terminated,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Lighting & Energy Solutions,Advantage Construction Services,Open,7/18/2019,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advent Energy Solutions,,Open,4/10/2023,,20 to 99,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AECOM - Energy, Infrastructure & Industrial Construction",,Terminated,1/5/2016,12/12/2022,"5,000 to 9,999",246,AK, AL, AR, AZ, CA, CO, CT, DC, FL, GA, GU, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NJ, NM, NV, NY, OH, OK, OR, PA, SD, TN, TX, UT, VA, WA, WI, WV, WY,,,,,,,,
AEG Management Pittsburgh LLC,Consul Energy Center,Open,8/10/2012,,500 to 999,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegion Energy Services,,Open,8/23/2016,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegis Energy LLC,Delkia Aegis,Open,12/22/2020,,20 to 99,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AEP Energy, Inc.",,Open,1/11/2010,,20 to 99,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aera energy llc,,Open,11/2/2020,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerotek Inc. (Client Site: Guidant Group @ Siemens-Energy and Auto),,Terminated,7/7/2008,8/14/2009,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerotek Inc. (Client Site: Siemens Energy and Automation),,Terminated,7/7/2008,8/14/2009,20 to 99,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerotek Inc. (Client Site: Spectra Energy),,Terminated,8/20/2008,8/14/2009,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AES Distributed Energy, Inc.",,Open,12/18/2013,,20 to 99,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES Energy Services Continental Inc,,Open,12/6/2013,,20 to 99,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aether Energy, LLC",Eco Electric,Open,11/10/2014,,20 to 99,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affinity Energy LLC,,Open,11/26/2013,,10 to 19,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agentis, Inc",Agentis Energy,Open,3/18/2011,,5 to 9,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aggie Tech Energy Services, LLC, dba Big Bear Aggie Tech",,Open,6/6/2019,,100 to 499,2,NM, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AggieTech Energy Services LLC,,Open,3/1/2023,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AggieTech Energy Services, LLC",Big Bear AggieTech,Terminated,6/26/2015,5/7/2021,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agilitas Energy LLC,,Open,1/11/2022,,10 to 19,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agility Energy Inc.,,Open,8/3/2020,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHERN ENERGY,,Terminated,12/19/2017,7/12/2019,5 to 9,1,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air & Energy, Inc.",,Open,2/23/2015,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Energy Group, LLC",,Open,10/25/2019,,20 to 99,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Energy Systems & Services,,Open,6/14/2011,,10 to 19,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
